100,"9.86
(0.7)",,
100,"10.19
(0.6)","7th 
(F)"
100,"10.03
(-0.6)","1st 
(P)"
4x100,39.00,"11th 
(P)"
100,"9.86
(0.7)","1st 
(P)"
100,"10.24
(0.8)","3rd 
(P)"
4x100,39.14,"8th 
(P)"
100,"9.93
(0.7)","1st 
(F)"
100,"10.08
(0.9)","1st 
(P)"
200,"20.05
(0.0)","1st 
(F)"
200,"20.73
(1.3)","3rd 
(P)"
4x100,39.39,"3rd 
(F)"
100,"10.02
(0.4)","1st 
(F)"
200,"20.35
(0.2)","1st 
(F)"
4x100,39.12,"1st 
(F)"
4x100,38.83,"1st 
(F)"
100,"9.83w
(2.5)","1st 
(F)"
100,"9.96w
(3.1)","1st 
(P)"
4x100,39.08,"2nd 
(F)"
4x100,39.53,"1st 
(F)"
100,"10.26
(-1.5)","1st 
(F)"
200,"20.45w
(2.5)","1st 
(F)"
4x100,39.29,"1st 
(F)"
60,FS,
60,6.55,"1st 
(F)"
60,6.53,"1st 
(P)"
60,6.55,"1st 
(F)"
60,6.62,"1st 
(P)"
200,21.05,"1st 
(F)"
60,6.48,"1st 
(F)"
60,6.59,"1st 
(P)"
60,6.48,"1st 
(F)"
60,6.60,"1st 
(P)"
100,"10.11
(0.4)","3rd 
(F)"
100,"10.11
(0.9)","1st 
(P)"
4x100,39.53,"17th 
(P)"
100,"10.00
(1.6)","1st 
(P)"
100,"10.09w
(2.5)","4th 
(P)"
4x100,39.30,"8th 
(P)"
100,"10.09
(1.4)","2nd 
(F)"
100,"10.09w
(2.9)","1st 
(P)"
100,"10.03
(-1.0)","1st 
(F)"
4x100,DQ,
4x100,39.20,"1st 
(F)"
200,"20.47
(1.5)","1st 
(F)"
4x100,39.02,"1st 
(F)"
60,6.49,"1st 
(F)"
60,6.52,"1st 
(P)"
60,6.49,"1st 
(F)"
60,6.61,"1st 
(P)"
60,6.60,"1st 
(F)"
60,6.63,"2nd 
(P)"
60,6.56,"1st 
(F)"
60,6.63,"1st 
(P)"
